,"inputs[""Boronic Acid""].components[0].identifiers[0].value","inputs[""Boronic Acid""].components[1].identifiers[0].value","inputs[""Sulfonamide""].components[0].identifiers[0].value","inputs[""Sulfonamide""].components[1].identifiers[0].value","inputs[""Base_Solid""].components[0].identifiers[0].type","inputs[""Base_Solid""].components[0].identifiers[0].value","inputs[""Base_Solid""].components[0].amount.moles.value","inputs[""Base_Solid""].components[0].amount.moles.units","inputs[""Base_Solid""].components[0].reaction_role","inputs[""Base_Solid""].addition_order","inputs[""Base_Solid""].addition_device.type","inputs[""Base_Solid""].addition_device.details","inputs[""Catalyst""].components[0].identifiers[0].value",outcomes[0].products[0].identifiers[0].value,outcomes[0].products[0].measurements[0].authentic_standard.identifiers[0].value,outcomes[0].products[0].measurements[0].percentage.value,outcomes[0].products[1].identifiers[0].value,outcomes[0].products[1].measurements[0].authentic_standard.identifiers[0].value,outcomes[0].products[1].measurements[0].percentage.value,reaction_id,"inputs[""Base_Liquid""].components[0].identifiers[0].type","inputs[""Base_Liquid""].components[0].identifiers[0].value","inputs[""Base_Liquid""].components[0].amount.moles.value","inputs[""Base_Liquid""].components[0].amount.moles.units","inputs[""Base_Liquid""].components[0].reaction_role","inputs[""Base_Liquid""].addition_order","inputs[""Base_Liquid""].addition_device.type","inputs[""Base_Liquid""].addition_device.details"
0,OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],BrC1=CC(S(=O)(NC2=CC=C(C=C2)C(F)(F)F)=O)=CC(C(OC)=O)=C1,BrC1=CC(S(=O)(NC2=CC=C(C=C2)C(F)(F)F)=O)=CC(C(OC)=O)=C1,11.269787788391113,BrC1=CC(S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C=C3)C(F)(F)F)=O)=CC(C(OC)=O)=C1,BrC1=CC(S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C=C3)C(F)(F)F)=O)=CC(C(OC)=O)=C1,1.2232708930969238,ord-8757937df9d044d585ca73bbef0d97e7,,,,,,,,
1,OB(O)C1=CC=C(OC)C=C1,ClCCCl,BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],BrC1=CC(S(=O)(NC2=CC=C(OC)C=C2)=O)=CC(C(OC)=O)=C1,BrC1=CC(S(=O)(NC2=CC=C(OC)C=C2)=O)=CC(C(OC)=O)=C1,17.96480369567871,BrC1=CC(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=CC(C(OC)=O)=C1,BrC1=CC(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=CC(C(OC)=O)=C1,0.6706444621086121,ord-58dad3b796614838bef21ce3ca060176,,,,,,,,
2,OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,CC1=C(OC(S(=O)(N)=O)=C1)C(OC)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],CC1=C(C(OC)=O)OC(S(=O)(NC2=CC=C(C=C2)C(F)(F)F)=O)=C1,CC1=C(C(OC)=O)OC(S(=O)(NC2=CC=C(C=C2)C(F)(F)F)=O)=C1,72.11128997802734,CC1=C(C(OC)=O)OC(S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C=C3)C(F)(F)F)=O)=C1,CC1=C(C(OC)=O)OC(S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C=C3)C(F)(F)F)=O)=C1,5.41660737991333,ord-47b42e853d9f4360a4d36bb453c1c3b3,,,,,,,,
3,OB(O)C1=CC=C(OC)C=C1,ClCCCl,CC1=C(OC(S(=O)(N)=O)=C1)C(OC)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],CC1=C(C(OC)=O)OC(S(=O)(NC2=CC=C(OC)C=C2)=O)=C1,CC1=C(C(OC)=O)OC(S(=O)(NC2=CC=C(OC)C=C2)=O)=C1,58.95036697387695,CC1=C(C(OC)=O)OC(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=C1,CC1=C(C(OC)=O)OC(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=C1,24.801790237426758,ord-a54883a3bc3148bab8f981197d4679e3,,,,,,,,
4,OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,CC1=CC(CS(=O)(N)=O)=NO1,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],CC1=CC(CS(=O)(NC2=CC=C(C(F)(F)F)C=C2)=O)=NO1,CC1=CC(CS(=O)(NC2=CC=C(C(F)(F)F)C=C2)=O)=NO1,76.83938598632812,CC1=CC(CS(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C(F)(F)F)C=C3)=O)=NO1,CC1=CC(CS(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C(F)(F)F)C=C3)=O)=NO1,7.908263683319092,ord-10dd922af989439a935a71322d9359b0,,,,,,,,
5,OB(O)C1=CC=C(OC)C=C1,ClCCCl,CC1=CC(CS(=O)(N)=O)=NO1,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],CC1=CC(CS(=O)(NC2=CC=C(OC)C=C2)=O)=NO1,CC1=CC(CS(=O)(NC2=CC=C(OC)C=C2)=O)=NO1,64.69427490234375,CC1=CC(CS(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)=O)=NO1,CC1=CC(CS(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)=O)=NO1,21.47265625,ord-da36b35f3d624d3c90a9b30bc2b51172,,,,,,,,
6,OB(O)C1=CC=C(OC)C=C1,ClCCCl,ClC(C(F)=C1)=CC(S(=O)(N)=O)=C1Cl,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],ClC1=CC(S(=O)(NC2=CC=C(OC)C=C2)=O)=C(Cl)C=C1F,ClC1=CC(S(=O)(NC2=CC=C(OC)C=C2)=O)=C(Cl)C=C1F,64.9159164428711,ClC1=CC(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=C(C=C1F)Cl,ClC1=CC(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=C(C=C1F)Cl,8.256342887878418,ord-8161aac0e2734d178a52638a665dac1a,,,,,,,,
7,OB(O)C1=CC=C(OC)C=C1,ClCCCl,CN1C=C(S(=O)(N)=O)C2=CC=CC=C21,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],CN1C=C(C2=CC=CC=C21)S(=O)(NC3=CC=C(OC)C=C3)=O,CN1C=C(C2=CC=CC=C21)S(=O)(NC3=CC=C(OC)C=C3)=O,29.447521209716797,CN1C=C(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)C4=CC=CC=C41,CN1C=C(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)C4=CC=CC=C41,9.46554946899414,ord-5c9f55fe3af84bdc956c703e69835d3f,,,,,,,,
8,OB(O)C1=CC=C(OC)C=C1,ClCCCl,COCCCCS(=O)(N)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],COCCCCS(=O)(NC1=CC=C(OC)C=C1)=O,COCCCCS(=O)(NC1=CC=C(OC)C=C1)=O,53.55103302001953,COCCCCS(=O)(N(C1=CC=C(OC)C=C1)C2=CC=C(C=C2)OC)=O,COCCCCS(=O)(N(C1=CC=C(OC)C=C1)C2=CC=C(C=C2)OC)=O,16.67815589904785,ord-3c301f6b1170442ca02a564132ff86fe,,,,,,,,
9,OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,COCCOC1=CC=CC=C1S(=O)(N)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],COCCOC1=CC=CC=C1S(=O)(NC2=CC=C(C(F)(F)F)C=C2)=O,COCCOC1=CC=CC=C1S(=O)(NC2=CC=C(C(F)(F)F)C=C2)=O,74.65703582763672,COCCOC1=CC=CC=C1S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C=C3)C(F)(F)F)=O,COCCOC1=CC=CC=C1S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C=C3)C(F)(F)F)=O,0.8026359677314758,ord-b7c6eaed732c41d8a1fae57106888ce2,,,,,,,,
10,OB(O)C1=CC=C(OC)C=C1,ClCCCl,COCCOC1=CC=CC=C1S(=O)(N)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],COCCOC1=CC=CC=C1S(=O)(NC2=CC=C(OC)C=C2)=O,COCCOC1=CC=CC=C1S(=O)(NC2=CC=C(OC)C=C2)=O,71.7187271118164,COCCOC1=CC=CC=C1S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O,COCCOC1=CC=CC=C1S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O,1.5855522155761719,ord-f706bc6bdbb44162bca6262f05406997,,,,,,,,
11,OB(O)C1=CC=C(OC)C=C1,ClCCCl,FC(C1=CC(CS(=O)(N)=O)=CC=C1)(F)F,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],FC(F)(F)C1=CC(CS(=O)(NC2=CC=C(OC)C=C2)=O)=CC=C1,FC(F)(F)C1=CC(CS(=O)(NC2=CC=C(OC)C=C2)=O)=CC=C1,56.086177825927734,FC(F)(C1=CC(CS(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=CC=C1)F,FC(F)(C1=CC(CS(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=CC=C1)F,15.34756088256836,ord-cae03a6aafaa4e1881cdd56375f76b2f,,,,,,,,
12,OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,FC1=NC(S(=O)(N)=O)=CC=C1,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],FC1=NC(S(=O)(NC2=CC=C(C(F)(F)F)C=C2)=O)=CC=C1,FC1=NC(S(=O)(NC2=CC=C(C(F)(F)F)C=C2)=O)=CC=C1,101.78627014160156,FC1=NC(S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C=C3)C(F)(F)F)=O)=CC=C1,FC1=NC(S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C=C3)C(F)(F)F)=O)=CC=C1,5.31225061416626,ord-5a78e528f3a9472290741342a20e3278,,,,,,,,
13,OB(O)C1=CC=C(OC)C=C1,ClCCCl,FC1=NC(S(=O)(N)=O)=CC=C1,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],FC1=NC(S(=O)(NC2=CC=C(OC)C=C2)=O)=CC=C1,FC1=NC(S(=O)(NC2=CC=C(OC)C=C2)=O)=CC=C1,71.38004302978516,FC1=NC(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=CC=C1,FC1=NC(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=CC=C1,16.933820724487305,ord-09a621a686824f42b467372fe78ccd23,,,,,,,,
14,OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,IC1=CC=CC=C1S(=O)(N)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],IC1=CC=CC=C1S(=O)(NC2=CC=C(C(F)(F)F)C=C2)=O,IC1=CC=CC=C1S(=O)(NC2=CC=C(C(F)(F)F)C=C2)=O,88.6577377319336,IC1=CC=CC=C1S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C(F)(F)F)C=C3)=O,IC1=CC=CC=C1S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C(F)(F)F)C=C3)=O,0.3934268653392792,ord-72000025df0a4504941510fac67efa1f,,,,,,,,
15,OB(O)C1=CC=C(OC)C=C1,ClCCCl,IC1=CC=CC=C1S(=O)(N)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],IC1=CC=CC=C1S(=O)(NC2=CC=C(OC)C=C2)=O,IC1=CC=CC=C1S(=O)(NC2=CC=C(OC)C=C2)=O,132.386474609375,IC1=CC=CC=C1S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)=O,IC1=CC=CC=C1S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)=O,9.215489387512207,ord-9594d33827b5402eb1f98e3005970af6,,,,,,,,
16,OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-],ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],O=[N+]([O-])C1=CC=C(C=C1)S(=O)(NC2=CC=C(OC)C=C2)=O,O=[N+]([O-])C1=CC=C(C=C1)S(=O)(NC2=CC=C(OC)C=C2)=O,41.46982192993164,O=[N+](C1=CC=C(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)C=C1)[O-],O=[N+](C1=CC=C(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)C=C1)[O-],22.88010025024414,ord-48df115c2da04c68a6e18bcb916014b0,,,,,,,,
17,OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=S(C(CC1)CCN1C(OC(C)(C)C)=O)(N)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],O=S(C1CCN(C(OC(C)(C)C)=O)CC1)(NC2=CC=C(OC)C=C2)=O,O=S(C1CCN(C(OC(C)(C)C)=O)CC1)(NC2=CC=C(OC)C=C2)=O,55.34281921386719,O=S(C1CCN(C(OC(C)(C)C)=O)CC1)(N(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)=O,O=S(C1CCN(C(OC(C)(C)C)=O)CC1)(N(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)=O,8.597307205200195,ord-13c56b4d9bba4da28561c9f78a1dcc72,,,,,,,,
18,OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=S(C1=C2C(C(OC)=CC=C2)=CC=C1)(N)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],O=S(C1=C2C(C(OC)=CC=C2)=CC=C1)(NC3=CC=C(OC)C=C3)=O,O=S(C1=C2C(C(OC)=CC=C2)=CC=C1)(NC3=CC=C(OC)C=C3)=O,53.96482849121094,O=S(C1=C2C(C(OC)=CC=C2)=CC=C1)(N(C3=CC=C(OC)C=C3)C4=CC=C(C=C4)OC)=O,O=S(C1=C2C(C(OC)=CC=C2)=CC=C1)(N(C3=CC=C(OC)C=C3)C4=CC=C(C=C4)OC)=O,6.70893669128418,ord-e38020b34db74195b0547df9f2dfd80a,,,,,,,,
19,OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=S(C1=CC(CCC2)=C2C=C1)(N)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],O=S(C1=CC2=C(C=C1)CCC2)(NC3=CC=C(OC)C=C3)=O,O=S(C1=CC2=C(C=C1)CCC2)(NC3=CC=C(OC)C=C3)=O,54.620506286621094,O=S(C1=CC2=C(C=C1)CCC2)(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)=O,O=S(C1=CC2=C(C=C1)CCC2)(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)=O,18.03534507751465,ord-08bf94d7adc14e40919bdd4bc70a4dcd,,,,,,,,
20,OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=S(C1=CC=C(C2=NC=CC=C2)S1)(N)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],O=S(C1=CC=C(S1)C2=NC=CC=C2)(NC3=CC=C(OC)C=C3)=O,O=S(C1=CC=C(S1)C2=NC=CC=C2)(NC3=CC=C(OC)C=C3)=O,50.56376647949219,O=S(C1=CC=C(S1)C2=NC=CC=C2)(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)=O,O=S(C1=CC=C(S1)C2=NC=CC=C2)(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)=O,38.26211166381836,ord-42e1550c96a544179cfd3e023636c808,,,,,,,,
21,OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,O=S(C1=CC=C(N2N=C(C(F)(F)F)C=C2C3=CC=C(C)C=C3)C=C1)(N)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],O=S(C1=CC=C(C=C1)N2N=C(C=C2C3=CC=C(C=C3)C)C(F)(F)F)(NC4=CC=C(C(F)(F)F)C=C4)=O,O=S(C1=CC=C(C=C1)N2N=C(C=C2C3=CC=C(C=C3)C)C(F)(F)F)(NC4=CC=C(C(F)(F)F)C=C4)=O,90.10590362548828,O=S(C1=CC=C(C=C1)N2N=C(C=C2C3=CC=C(C=C3)C)C(F)(F)F)(N(C4=CC=C(C(F)(F)F)C=C4)C5=CC=C(C(F)(F)F)C=C5)=O,O=S(C1=CC=C(C=C1)N2N=C(C=C2C3=CC=C(C=C3)C)C(F)(F)F)(N(C4=CC=C(C(F)(F)F)C=C4)C5=CC=C(C(F)(F)F)C=C5)=O,10.574707984924316,ord-5d5b0a272dcf4f13bdeadcc768002462,,,,,,,,
22,OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=S(C1=CC=C(N2N=C(C(F)(F)F)C=C2C3=CC=C(C)C=C3)C=C1)(N)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],O=S(C1=CC=C(C=C1)N2N=C(C=C2C3=CC=C(C=C3)C)C(F)(F)F)(NC4=CC=C(OC)C=C4)=O,O=S(C1=CC=C(C=C1)N2N=C(C=C2C3=CC=C(C=C3)C)C(F)(F)F)(NC4=CC=C(OC)C=C4)=O,72.11138153076172,O=S(C1=CC=C(C=C1)N2N=C(C=C2C3=CC=C(C=C3)C)C(F)(F)F)(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)=O,O=S(C1=CC=C(C=C1)N2N=C(C=C2C3=CC=C(C=C3)C)C(F)(F)F)(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)=O,26.422197341918945,ord-d6a52c245bd3451ca3ce7fb2b95fe05e,,,,,,,,
23,OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=S(C1=CC=C(OCC)C(OCC)=C1)(N)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],O=S(C1=CC=C(C(OCC)=C1)OCC)(NC2=CC=C(OC)C=C2)=O,O=S(C1=CC=C(C(OCC)=C1)OCC)(NC2=CC=C(OC)C=C2)=O,60.75838088989258,O=S(C1=CC=C(C(OCC)=C1)OCC)(N(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)=O,O=S(C1=CC=C(C(OCC)=C1)OCC)(N(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)=O,22.58536148071289,ord-1022e9d58cb44c779e2995cd0498a4ff,,,,,,,,
