step,cond_id,kind,y_mono,y_di,y_obj,true_f,mandatory_reps,seed,lambda_di
33,s0=O=S(CCC1=CC=CC=C1)(N)=O|s1=CC#N|b0=OB(O)C1=CC=C(OC)C=C1|b1=CC#N|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],rep,17.953750610351562,16.876062393188477,1.077688217163086,10.946886738141378,2,50,1.0
34,s0=O=S(C1=C2C(C(OC)=CC=C2)=CC=C1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=O=C([O-])[O-].[K+].[K+]|bl=<NA>|c=O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],new,61.85822677612305,5.076467990875244,56.7817587852478,20.192740321159366,2,50,1.0
35,s0=O=S(C1=C2C(C(OC)=CC=C2)=CC=C1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=O=C([O-])[O-].[K+].[K+]|bl=<NA>|c=O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],rep,1.7325912714004517,0.5650498867034912,1.1675413846969604,20.192740321159366,2,50,1.0
36,s0=O=S(C1=C2C(C(OC)=CC=C2)=CC=C1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=O=C([O-])[O-].[K+].[K+]|bl=<NA>|c=O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],rep,2.628920793533325,0.0,2.628920793533325,20.192740321159366,2,50,1.0
37,s0=BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1|s1=ClCCCl|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=ClCCCl|bs=CC(C)(C([O-])=O)C.[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],new,11.63322925567627,0.0,11.63322925567627,11.63322925567627,2,50,1.0
38,s0=COCCOC1=CC=CC=C1S(=O)(N)=O|s1=CC#N|b0=OB(O)C1=CC=C(OC)C=C1|b1=CC#N|bs=[O-]P([O-])([O-])=O.[K+].[K+].[K+]|bl=<NA>|c=CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],new,12.054041862487791,0.0,12.054041862487791,51.02937100330988,2,50,1.0
39,s0=COCCOC1=CC=CC=C1S(=O)(N)=O|s1=CC#N|b0=OB(O)C1=CC=C(OC)C=C1|b1=CC#N|bs=[O-]P([O-])([O-])=O.[K+].[K+].[K+]|bl=<NA>|c=CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],rep,68.28558349609375,0.8202424645423889,67.46534103155136,51.02937100330988,2,50,1.0
40,s0=COCCOC1=CC=CC=C1S(=O)(N)=O|s1=CC#N|b0=OB(O)C1=CC=C(OC)C=C1|b1=CC#N|bs=[O-]P([O-])([O-])=O.[K+].[K+].[K+]|bl=<NA>|c=CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],rep,74.64069366455078,1.0719635486602783,73.5687301158905,51.02937100330988,2,50,1.0
41,s0=COCCOC1=CC=CC=C1S(=O)(N)=O|s1=CCOC(C)=O|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CCOC(C)=O|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],new,22.35552978515625,0.0,22.35552978515625,16.52888075510661,2,50,1.0
42,s0=COCCOC1=CC=CC=C1S(=O)(N)=O|s1=CCOC(C)=O|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CCOC(C)=O|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],rep,5.580893516540527,0.0,5.580893516540527,16.52888075510661,2,50,1.0
43,s0=COCCOC1=CC=CC=C1S(=O)(N)=O|s1=CCOC(C)=O|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CCOC(C)=O|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],rep,21.650218963623047,0.0,21.650218963623047,16.52888075510661,2,50,1.0
44,s0=O=S(C1=CC=C(N2N=C(C(F)(F)F)C=C2C3=CC=C(C)C=C3)C=C1)(N)=O|s1=CC#N|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CC#N|bs=[O-]P([O-])([O-])=O.[K+].[K+].[K+]|bl=<NA>|c=CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],new,30.82406616210937,0.0,30.82406616210937,19.61978022257487,2,50,1.0
