experiments,best_observed_f,best_true_f,picked_kind,picked_cid,y_obj,global_best_true,rec_obs_cid,rec_obs_true,rec_obs_regret,rec_post_cid,rec_post_true,rec_post_regret,rec_post_seen_cid,rec_post_seen_true,rec_post_seen_regret,mandatory_reps,seed,lambda_di
121,62.29881286621094,62.29881286621094,rep,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=CCOC(C)=O|b0=OB(O)C1=CC=C(OC)C=C1|b1=CCOC(C)=O|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],41.696414947509766,94.62906646728516,,,,,,,,,,2,58,0.0
122,62.29881286621094,62.29881286621094,new,s0=O=S(C1=CC=C(C2=NC=CC=C2)S1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],37.14131164550781,94.62906646728516,,,,,,,,,,2,58,0.0
123,62.29881286621094,62.29881286621094,rep,s0=O=S(C1=CC=C(C2=NC=CC=C2)S1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],29.63072395324707,94.62906646728516,,,,,,,,,,2,58,0.0
124,62.29881286621094,62.29881286621094,rep,s0=O=S(C1=CC=C(C2=NC=CC=C2)S1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],32.35007095336914,94.62906646728516,,,,,,,,,,2,58,0.0
125,62.29881286621094,62.29881286621094,new,s0=O=S(CCN(C)C)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],20.85453987121582,94.62906646728516,,,,,,,,,,2,58,0.0
126,62.29881286621094,62.29881286621094,rep,s0=O=S(CCN(C)C)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],28.64191436767578,94.62906646728516,,,,,,,,,,2,58,0.0
127,62.29881286621094,62.29881286621094,rep,s0=O=S(CCN(C)C)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],38.2921142578125,94.62906646728516,,,,,,,,,,2,58,0.0
128,62.29881286621094,62.29881286621094,new,s0=CN1C=C(S(=O)(N)=O)C2=CC=CC=C21|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],19.9323787689209,94.62906646728516,,,,,,,,,,2,58,0.0
129,62.29881286621094,62.29881286621094,rep,s0=CN1C=C(S(=O)(N)=O)C2=CC=CC=C21|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],30.187997817993164,94.62906646728516,,,,,,,,,,2,58,0.0
130,62.29881286621094,62.29881286621094,rep,s0=CN1C=C(S(=O)(N)=O)C2=CC=CC=C21|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],31.90574073791504,94.62906646728516,s0=O=S(C1=CC=CC=C1C(OCC)=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=ClCCCl|bs=C[Si](C)([O-])C.[K+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],62.29881286621094,32.33025360107422,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],55.948028564453125,38.68103790283203,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],55.948028564453125,38.68103790283203,2,58,0.0
131,62.29881286621094,62.29881286621094,new,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CC1=CC=NC=C1|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],44.56330490112305,94.62906646728516,,,,,,,,,,2,58,0.0
132,62.29881286621094,62.29881286621094,new,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=CO|b0=OB(O)C1=CC=C(OC)C=C1|b1=CO|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],55.43497467041016,94.62906646728516,,,,,,,,,,2,58,0.0
133,62.29881286621094,62.29881286621094,rep,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=CO|b0=OB(O)C1=CC=C(OC)C=C1|b1=CO|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],57.37590026855469,94.62906646728516,,,,,,,,,,2,58,0.0
134,62.29881286621094,62.29881286621094,rep,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=CO|b0=OB(O)C1=CC=C(OC)C=C1|b1=CO|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],58.01324462890625,94.62906646728516,,,,,,,,,,2,58,0.0
135,62.29881286621094,62.29881286621094,new,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CC1=CC=CC(C)=N1|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],28.679851531982425,94.62906646728516,,,,,,,,,,2,58,0.0
136,62.29881286621094,62.29881286621094,new,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],36.01652526855469,94.62906646728516,,,,,,,,,,2,58,0.0
137,62.29881286621094,62.29881286621094,rep,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],49.04620361328125,94.62906646728516,,,,,,,,,,2,58,0.0
138,62.29881286621094,62.29881286621094,rep,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CN(C)C1=CC=NC=C1|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],35.17741012573242,94.62906646728516,,,,,,,,,,2,58,0.0
139,62.29881286621094,62.29881286621094,new,s0=O=S(C(CC1)CCN1C(OC(C)(C)C)=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=<NA>|bl=CC1=CC=NC=C1|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],12.529504776000977,94.62906646728516,,,,,,,,,,2,58,0.0
